geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,name_left,name:ca_left,short_name,operator:type,wikidata_left,operator,wikimedia_commons,source_left,source:date,website,alt_name_left,official_name,opening_hours,phone,name:es_left,email,contact:email,contact:phone,contact:website,craft,ref_left,after_school,wheelchair,denomination,grades,religion,internet_access,isced:level,name:etymology:wikidata,operator:wikidata,wikipedia_left,building,building:levels,nohousenumber,alt_name:ca_left,alt_name:es,short_name:es,barrier,old_name_left,old_name:ca,old_name:es,contact:fax,name:de,polling_station,max_age,min_age,designation,description,check_date,fax,name:en,short_name:ca,note,start_date,addr:country,contact:facebook,pedagogy,school,addr:city:ca,addr:city:es,addr:street:ca,addr:street:es,ele,image,addr:housename,type_left,roof:levels,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref_right,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.3964845972941873 39.46075836586336),València,2,46014,Carrer de la Vall d'Uixó,school,"Institut d'Educació Secundària Patraix, Vicenta Ferrer Escrivá","Institut d'Educació Secundària Patraix, Vicenta Ferrer Escrivá","IES Patraix, Vicenta Ferrer Escrivá",,Q107147741,,,,,http://www.ceice.gva.es/es/web/centros-docentes/consulta-general?viewUrl162652993=/abc/i_guiadecentros/es/centro.asp&codi=46022944,,,,+34 961 20 62 95,"Instituto de Educación Secundaria Patraix, Vicenta Ferrer Escrivá",46022944@gva.es,,,,,46022944,,,,,,,,Q112114567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731862.0,10,administrative,,Safranar,Safranar,,boundary,Q611575,ca:Safranar,,,,
POINT (-0.4020188339848181 39.46111973881487),,,,,school,Col·legi d'Educació Infantil i Primària Ciudad de Bolonia,Col·legi d'Educació Infantil i Primària Ciudad de Bolonia,CEIP Ciudad de Bolonia,public,Q108136156,,,,,,,,,,Colegio de Educación Infantil y Primaria Ciudad de Bolonia,,,,,,,,,,,,,,Q1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4030365735895092 39.45465848372282),València,9,46014,Carrer de l'Arquitecte Segura de Lago,school,Col·legi d'Educació Infantil i Primària Nicolau Primitiu Gómez Serrano,Col·legi d'Educació Infantil i Primària Nicolau Primitiu Gómez Serrano,CEIP Nicolau Primitiu Gómez Serrano,public,Q108135815,,,,,,,,,,Colegio de Educación Infantil y Primaria Nicolau Primitiu Gómez Serrano,,,+34 962 56 60 70,http://mestreacasa.gva.es/web/4601485600,,46014856,,,,,,,,Q3340990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731864.0,10,administrative,,Sant Isidre,Sant Isidre,San Isidro,boundary,Q9073950,ca:Sant Isidre (barri de València),,,,
POINT (-0.4028960207191868 39.451904694856346),València,43,46014,Carrer de José Andreu Alabarta,school,Col·legi d'Educació Infantil i Primària Sant Isidre,Col·legi d'Educació Infantil i Primària Sant Isidre,CEIP Sant Isidre,public,Q108136465,,,,,,,,,+34 961205510,Colegio de Educación Infantil y Primaria Sant Isidre,,,,http://mestreacasa.gva.es/web/4602407200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731864.0,10,administrative,,Sant Isidre,Sant Isidre,San Isidro,boundary,Q9073950,ca:Sant Isidre (barri de València),,,,
POINT (-0.3931650176319391 39.46573806259409),,,,,school,Colegio Esclavas de María,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3615177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731865.0,10,administrative,,Patraix,Patraix,,boundary,Q55224,,,,,
POINT (-0.3896412192021834 39.45825016764202),,,,,school,Col·legi d'Educació Infantil i Primària Jesús,Col·legi d'Educació Infantil i Primària Jesús,CEIP Jesús,public,Q106437751,Generalitat Valenciana,,,,,,,,,,,,,,,,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14731865.0,10,administrative,,Patraix,Patraix,,boundary,Q55224,,,,,
POINT (-0.3945775126199336 39.44305743495476),,,,,school,Col·legi d'Educació Infantil i Primària Professor Ramiro Jover,Col·legi d'Educació Infantil i Primària Professor Ramiro Jover,CEIP Professor Ramiro Jover,public,Q108136079,,,,,,,,,,Colegio de Educación Infantil y Primaria Profesor Ramiro Jover,,,,,,46017471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766981.0,10,administrative,,Camí Real,Camí Real,,boundary,Q8261292,ca:Camí Real (barri de València),,,,
POINT (-0.3916461065468202 39.44057219717784),,,,,school,Institut d'Educació Secundària Joanot Martorell,Institut d'Educació Secundària Joanot Martorell,IES Joanot Martorell,public,Q107182444,Generalitat Valenciana,,,,,,,,,,,,,,,46012999,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766981.0,10,administrative,,Camí Real,Camí Real,,boundary,Q8261292,ca:Camí Real (barri de València),,,,
POINT (-0.3870000751544472 39.439958477713546),,,,,school,Col·legi d'Educació Especial Profesor Sebastián Burgos,,CEE Profesor Sebastián Burgos,,,,,,,,,,,,,,,,,,46016245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766981.0,10,administrative,,Camí Real,Camí Real,,boundary,Q8261292,ca:Camí Real (barri de València),,,,
POINT (-0.3912027 39.4448785),,,,,school,Salgui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766982.0,10,administrative,,Sant Marcel·lí,Sant Marcel·lí,,boundary,Q55231,ca:Sant Marcel·lí (barri de València),,,,
POINT (-0.3920044342094745 39.44588268015831),,,,,school,Col·legi d'Educació Infantil i Primària Sara Fernández,Col·legi d'Educació Infantil i Primària Sara Fernández,CEIP Sara Fernández,public,Q108135788,,,,,,,,,,Colegio de Educación Infantil y Primaria Sara Fernández,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766982.0,10,administrative,,Sant Marcel·lí,Sant Marcel·lí,,boundary,Q55231,ca:Sant Marcel·lí (barri de València),,,,
POINT (-0.391397209457398 39.44331817215804),,,,,school,Colegio Parroquial De San Marcelino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766982.0,10,administrative,,Sant Marcel·lí,Sant Marcel·lí,,boundary,Q55231,ca:Sant Marcel·lí (barri de València),,,,
POINT (-0.388716871712009 39.445075646728185),,,,,school,Col·legi d'Educació Infantil i Primària Fausto Martínez,Col·legi d'Educació Infantil i Primària Fausto Martínez,CEIP Fausto Martínez,public,Q108135786,,,,,,,,,,Colegio de Educación Infantil y Primaria Fausto Martínez,,,,,,,,,,,,,,,,,,,,,,,wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766982.0,10,administrative,,Sant Marcel·lí,Sant Marcel·lí,,boundary,Q55231,ca:Sant Marcel·lí (barri de València),,,,
POINT (-0.3869335 39.4522294),,,,,school,Colegio Luis de Santángel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766983.0,10,administrative,,la Creu Coberta,la Creu Coberta,,boundary,Q11687626,ca:La Creu Coberta,,,,
POINT (-0.3935357523825986 39.449742165524796),,,,,school,Col·legi d'Educació Infantil i Primària Tomás de Villarroya,,CEIP Tomás de Villarroya,public,Q108135950,Generalitat Valenciana,,,,,,,,,Colegio de Educación Infantil y Primaria Tomás de Villarroya,,,,,,46015873,,,,,,,,Q3531438,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766984.0,10,administrative,,l'Hort de Senabre,l'Hort de Senabre,,boundary,Q9018191,ca:L'Hort de Senabre,,,,
POINT (-0.3901464581020996 39.450170442914356),,,,,school,Col·legi d'Educació Infantil i Primària José Soto Micó,,CEIP José Soto Micó,public,Q107182443,,,,,,,,,,Colegio de Educación Infantil y Primaria José Soto Micó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766984.0,10,administrative,,l'Hort de Senabre,l'Hort de Senabre,,boundary,Q9018191,ca:L'Hort de Senabre,,,,
POINT (-0.3910890892061052 39.45443670148671),,,,,school,Colegio Oller,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14766984.0,10,administrative,,l'Hort de Senabre,l'Hort de Senabre,,boundary,Q9018191,ca:L'Hort de Senabre,,,,
POINT (-0.3617514786109243 39.45025548306766),València,2,46013,Carrer de Blas Gámez Ortiz (subinspector),school,Col·legi d'Educació Infantil i Primària Les Arts,Col·legi d'Educació Infantil i Primària Les Arts,CEIP Les Arts,public,Q108135767,Generalitat Valenciana,,,,https://portal.edu.gva.es/ceiplesarts/,,,,+34 962 56 67 50,Colegio de Educación Infantil y Primaria Les Arts,,,,,,,,,,,none,,0;1,,Q2477285,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,relation,14785200.0,10,administrative,,Ciutat de les Arts i de les Ciències,Ciutat de les Arts i de les Ciències,Ciudad de las Artes y las Ciencias,boundary,Q6411880,ca:Ciutat de les Arts i les Ciències (barri de València),,,,
POINT (-0.3649774932298917 39.44476642126914),,,,,school,Col·legi d'Educació Infantil i Primària La Fonteta,Col·legi d'Educació Infantil i Primària La Fonteta,CEIP La Fonteta,public,Q108135792,Generalitat Valenciana,,,,https://portal.edu.gva.es/lafonteta/,,,,+34 962 56 66 70,Colegio de Educación Infantil y Primaria La Fonteta,,,,,,,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785201.0,10,administrative,,la Punta,la Punta,,boundary,Q585354,ca:La Punta (València),,,,
POINT (-0.3393253129233503 39.4469105334488),València,67,46024,Carretera del Riu,school,Centro Concertado de Enseñanza Santa Magdalena Sofía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785201.0,10,administrative,,la Punta,la Punta,,boundary,Q585354,ca:La Punta (València),,,,
POINT (-0.3611937769758954 39.45556708108232),,,,,school,Col·legi Magisteri espanyol,Col·legi Magisteri espanyol,,,,,,,,,,,,,Colegio Magisterio Español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3698618773531853 39.452674680202655),,10,,Avenida de la Plata,school,Colegio Salesianos - San Juan Bosco,,,religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3643446491706099 39.45424788807281),,25,,Avinguda dels Germans Maristes,school,Institut d'Educació Secundària Font de Sant Lluís,,IES Font de Sant Lluís,public,Q107167987,Generalitat Valenciana,,,,https://portal.edu.gva.es/iesfontdesantlluis/,,,,+34 961206065,,46014224@edu.gva.es,,,,,46019404,,,,,,,2;3;5,Q284154,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.363541659247521 39.45284607776805),,24,,Avinguda de l'Alcalde Gisbert Rico,school,Institut d'Educació Secundària Jordi de Sant Jordi,,IES Jordi de Sant Jordi,public,Q107182441,Generalitat Valenciana,,,,https://portal.edu.gva.es/46012951/,,,,,,46012951@edu.gva.es,,,,,46012951,,,,,,,,Q284154,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3653821491936293 39.45408238165261),València,7,46013,Calle del Bombero Ramón Duart,school,Escuela Infantil Quatre Carreres,,,,,,,http://www.ayto-valencia.es/ayuntamiento/infociudad_accesible.nsf/vDocumentosWebListado/E50461FB03C8E8A4C12579EC0034802B?OpenDocument&lang=1&nivel=2_5&bdOrigen=ayuntamiento/atencion_ciudadano.nsf&idApoyo=&irAutobus=1,,,,,,+34960910028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3776791 39.4511587),València,46,46026,Carrer Bernat Descoll,school,"Centre Privat d'Educació Infantil, Primària i Secundària Martí Sorolla",,,cooperative,,Cooperativa Martí-Sorolla,,,,https://www.colegiojardin.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785203.0,10,administrative,,Malilla,Malilla,,boundary,Q9027164,ca:Malilla,,,,
POINT (-0.3754011491460111 39.450651427100134),,36,,Carrer Enginyer Joaquín Benlloch,school,Col·legi d'Educació Infantil i Primària Pablo Neruda,Col·legi d'Educació Infantil i Primària Pablo Neruda,CEIP Pablo Neruda,public,Q108136076,Generalitat Valenciana,,,,https://mestreacasa.gva.es/web/colegio-pablo-neruda-valencia,Col·legi Públic Pablo Neruda,,,,Colegio de Educación Infantil y Primaria Pablo Neruda,,46017468@gva.es,+34 963739766,,,46017468,,,,,,,,Q34189,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785203.0,10,administrative,,Malilla,Malilla,,boundary,Q9027164,ca:Malilla,,,,
POINT (-0.3789042577631861 39.45483111334501),,,,,school,Colegio Rafael Mateu Cámara,,,,Q108135946,,,,,,,,,,,,,,,,46015800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785203.0,10,administrative,,Malilla,Malilla,,boundary,Q9027164,ca:Malilla,,,,
POINT (-0.3801904508008419 39.45218241507535),,,,Carrer de Bernat Morales Sanmartín,school,Institut d'Educació Secundària Malilla,Institut d'Educació Secundària Malilla,IES Malilla,,Q107182442,,,,,http://iesmalilla.edu.gva.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785203.0,10,administrative,,Malilla,Malilla,,boundary,Q9027164,ca:Malilla,,,,
POINT (-0.3757597769693448 39.45332087403577),València,33,46006,Carrer de Joaquín Benlloch,school,Col·legi d'Educació Infantil i Primària Fernando de los Ríos,Col·legi d'Educació Infantil i Primària Fernando de los Ríos,,public,,Ajuntament de València,,,,https://educacio-valencia.es/es/colegio-municipal-fernando-de-los-rios/,,,,,,,,,,,,,,,,,,,Q3742984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14785203.0,10,administrative,,Malilla,Malilla,,boundary,Q9027164,ca:Malilla,,,,
POINT (-0.3609001441384657 39.46053328115091),València,3,46006,Plaça del Parc de Montolivet,school,Col·legi d'Educació Infantil i Primària Montolivet,,,public,Q108135680,Generalitat Valenciana,,,,https://portal.edu.gva.es/ceipmontolivet/,,,,+34 962 56 67 00,,,,,,,46012227,,,,,none,,0;1,,Q2477285,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,relation,14785205.0,10,administrative,,Montolivet,Montolivet,,boundary,Q11693518,ca:Montolivet (barri de València),,,,
POINT (-0.3323464325274599 39.4498391294451),València,3,46024,Carrer del Parc de Natzaret,school,Col·legi d'Educació Infantil i Primària Ausiàs March,Col·legi d'Educació Infantil i Primària Ausiàs March,,public,Q108135693,Generalitat Valenciana,,,,https://portal.edu.gva.es/ceipausiasmarchvalencia/,,,,,Colegio de Educación Infantil y Primaria Ausiàs March,,,,,,,,,,,none,,0;1,Q465675,Q2477285,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,relation,14876878.0,10,administrative,,Natzaret,Natzaret,,boundary,Q11695197,ca:Natzaret (barri de València),,,Llatzaret o el Bol Major,
POINT (-0.3349545729000327 39.445081936876534),València,74,46024,Camí de la Punta a la Mar,school,Col·legi d'Educació Infantil i Primària Juan Manuel Montoya,Col·legi d'Educació Infantil i Primària Juan Manuel Montoya,Juan Manuel Montoya,public,Q108136031,Generalitat Valenciana,,,,https://portal.edu.gva.es/ceipjuanmanuelmontoya/,,,,+34 961 20 54 85,,,,,,,46016555,,,,,none,,0;1,,Q2477285,,,,,,,,,Colegio Vicente Hervás,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,relation,14876878.0,10,administrative,,Natzaret,Natzaret,,boundary,Q11695197,ca:Natzaret (barri de València),,,Llatzaret o el Bol Major,
POINT (-0.3372407711145778 39.471979410028034),València,171,46022,Avinguda de Blasco Ibáñez,school,Col·legi d'Educació Infantil i Primària Mare Nostrum,Col·legi d'Educació Infantil i Primària Mare Nostrum,CEIP Mare Nostrum,,Q108136454,,,http://www.valencia.es/ayuntamiento/Infociudad_accesible.nsf/vDocumentosWebListado/9AE65294199A2620C12572C20023E1E1?OpenDocument&bdOrigen=,,https://cpmarenostrum.es/,,,,+34 961205560,Colegio de Educación Infantil y Primaria Mare Nostrum,46023900@edu.gva.es,,,,,46023900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+34 963728684,,,,,,,,,,,,,,,,,,relation,14876879.0,10,administrative,,Beteró,Beteró,,boundary,Q8247202,ca:Beteró,,,,
POINT (-0.3371680335628528 39.46937244355615),València,17,46022,Plaça del Professor Santiago Grisolía,school,Col·legi d'Educació Infantil i Primària San Pedro,Col·legi d'Educació Infantil i Primària San Pedro,CEIP San Pedro,public,Q108135700,Generalitat Valenciana,,,,https://mestreacasa.gva.es/web/ceipsanpedro/,,,,+34 962 566 350,,,,,,,46012631,,,,,,,0;1,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,València,Valencia,Plaça del Professor Santiago Grisolía,Plaza del Profesor Santiago Grisolía,,,,,,relation,14876879.0,10,administrative,,Beteró,Beteró,,boundary,Q8247202,ca:Beteró,,,,
POINT (-0.3360384787112256 39.474260414546066),València,,46022,Carrer d'Amadís de Gaula,school,Centre d'Educació Infantil i Primària Nuestra Señora del Carmen,,,public,Q108135695,Generalitat Valenciana,,,,,,,,,,,,,,,,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876879.0,10,administrative,,Beteró,Beteró,,boundary,Q8247202,ca:Beteró,,,,
POINT (-0.336048036440253 39.474926199690124),València,14,46022,Carrer de Campillo de Altobuey,school,Centre Privat d'Educació Infantil de Primer Cicle Beteró. Passet a passet,,,private,,"Passe a passet caminem plegats, Cooperativa valenciana",,,,,,,,,,,,,,,,,,,0-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876879.0,10,administrative,,Beteró,Beteró,,boundary,Q8247202,ca:Beteró,,,,
POINT (-0.3299964675163827 39.48187177340551),,15,,Calle Gran Canaria,school,Escuelas Pías - Malvarrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876880.0,10,administrative,,la Malva-rosa,la Malva-rosa,,boundary,Q11690389,ca:La Malva-rosa,,,,
POINT (-0.3253471149796637 39.477882394324894),,4,,Carrer d'Isabel de Villena,school,Institut d'Educació Secundària Isabel de Villena,Institut d'Educació Secundària Isabel de Villena,IES Isabel de Villena,,,,,,,,,,,,Instituto de Educación Secundaria Isabel de Villena,,,,,,46013086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876880.0,10,administrative,,la Malva-rosa,la Malva-rosa,,boundary,Q11690389,ca:La Malva-rosa,,,,
POINT (-0.3254063217914026 39.480343575790975),,6,,Calle de Isabel de Villena,school,Col·legi d'Educació Infantil i Primària Vicent Blasco Ibáñez,Col·legi d'Educació Infantil i Primària Vicent Blasco Ibáñez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876880.0,10,administrative,,la Malva-rosa,la Malva-rosa,,boundary,Q11690389,ca:La Malva-rosa,,,,
POINT (-0.3286041985391283 39.47925482477343),València,57,46011,Avinguda de la Malva-rosa,school,Col·legi d'Educació Infantil i Primària Ballester Fandos,,CP Ballester Fandos,,Q108135694,,,,,,,,,,Colegio de Educación Infantil y Primária Ballester Fandos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876880.0,10,administrative,,la Malva-rosa,la Malva-rosa,,boundary,Q11690389,ca:La Malva-rosa,,,,
POINT (-0.3289517125190176 39.48125977823958),,,,,school,Col·legi d'Educació Infantil i Primària Malva-rosa,Col·legi d'Educació Infantil i Primària Malva-rosa,CEIP Malva-rosa,,Q108135674,,,,,,,,,,Colegio de Educacion Infantil y Primaria Malvarrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876880.0,10,administrative,,la Malva-rosa,la Malva-rosa,,boundary,Q11690389,ca:La Malva-rosa,,,,
POINT (-0.3269668765147714 39.47555383013132),València,2,,Avinguda de la Malva-rosa,school,Col·legi d'Educació Infantil i Primària Cavite Isla de Hierro,Col·legi d'Educació Infantil i Primària Cavite Isla de Hierro,CEIP Cavite Isla de Hierro,public,Q108135765,Generalitat Valenciana,,,,https://portal.edu.gva.es/ceipcaviteisladehierro/,,,,+34 962 56 66 30,,,,,,,,,,,,,,0;1,,Q2477285,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,relation,14876880.0,10,administrative,,la Malva-rosa,la Malva-rosa,,boundary,Q11690389,ca:La Malva-rosa,,,,
POINT (-0.3320338 39.4658223),València,25,46011,Carrer d'En Vicent Gallart (Arciprest),school,Colegio Pureza de María-Grao,,,,,,,,,https://pmariagrao.org/,,,,+34 96 371 23 11 ·,,,,,,,,,,catholic,Infantil-Primaria-Secundaria-Bachillerato,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876881.0,10,administrative,,el Cabanyal - el Canyamelar,el Cabanyal - Canyamelar,Cabañal - Cañamelar,boundary,Q5015234,ca:Cabanyal-Canyamelar,,,,
POINT (-0.3322110113494227 39.462387207642074),,,,,school,Institut d'Educació Secundària El Grao,Institut d'Educació Secundària El Grao,IES El Grao,public,Q107147740,,,,,,,,,,Instituto de Educación Secundaria El Grao,,,,,,46020236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876882.0,10,administrative,,el Grau,el Grau,El Grao,boundary,Q3078478,ca:El Grau de València,,,,
POINT (-0.335875197832205 39.458341510361016),,,,,school,Col·legi d'Educació Infantil i Primària San José de Calasanz,Col·legi d'Educació Infantil i Primària San José de Calasanz,CEIP San José de Calasanz,public,Q108135698,Generalitat Valenciana,,,,,,,,,Colegio de Educación Infantil y Primaria San José de Calasanz,,,,,,46012628,,,,,,,,,Q2477285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876882.0,10,administrative,,el Grau,el Grau,El Grao,boundary,Q3078478,ca:El Grau de València,,,,
POINT (-0.3339956039505455 39.46197068661088),,,,,school,Colegio La Purísima Grao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14876882.0,10,administrative,,el Grau,el Grau,El Grao,boundary,Q3078478,ca:El Grau de València,,,,
POINT (-0.4125739006375717 39.50068856576913),València - Benimàmet,56,,Carrer de Rafael Tenes Escrich,school,Col·legi d'Educació Infantil i Primària Benimàmet,Col·legi d'Educació Infantil i Primària Benimàmet,,public,Q108135670,Generalitat Valenciana,,,,https://portal.edu.gva.es/ceipbenimamet/,,,,+34 962 56 64 10,,,,,,,,,,,,none,,0;1,,Q2477285,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,relation,14877586.0,10,administrative,,Benimàmet,Benimàmet,,boundary,Q4888020,ca:Benimàmet,,,,
POINT (-0.4238573525543552 39.500620871663564),,57,46035,Calle Campamento,school,Colegio el Ave María,,,,,,,,,https://elavemaria.es/,,,,+34963643811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14877586.0,10,administrative,,Benimàmet,Benimàmet,,boundary,Q4888020,ca:Benimàmet,,,,
POINT (-0.4240706244034971 39.50426252210518),Benimàmet,,46035,Carrer de Cullera,school,Institut d'Educació Secundària Benimàmet,Institut d'Educació Secundària Benimàmet,IES Benimàmet,,,,,,,http://iesbenimamet.edu.gva.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES,,,,,,,,,,,,,relation,14877586.0,10,administrative,,Benimàmet,Benimàmet,,boundary,Q4888020,ca:Benimàmet,,,,
POINT (-0.3994857724067736 39.496193743689446),,,46015,Calle Doctor Nicasio Benlloch,school,Institut d'Educació Secundària Benicalap,Institut d'Educació Secundària Benicalap,IES Benicalap,,Q107092270,,,,,,,,,,Instituto de Edicación Secundaria Benicalap,,,,,,46036414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14877587.0,10,administrative,,Beniferri,Beniferri,,boundary,Q8246326,ca:Beniferri,,,,
POINT (-0.3987700913081464 39.494628721553426),,,,,school,Col·legi d'Educació Infantil i Primària Lluís Guarner,Col·legi d'Educació Infantil i Primària Lluís Guarner,CEIP Lluís Guarner,,Q108136177,,,,,,,,,,,,,,,,,,,,,,,,Q3257556,,,,,,,,,,,,,,,,,,,,2023-09-11,,,,,,,,,,,,,,,,,,,relation,14877588.0,10,administrative,,Benicalap,Benicalap,,boundary,Q5725686,,,,,
POINT (-0.3906788285299431 39.4914286805664),,,,,school,Col·legi d'Educació Infantil i Primària Salvador Tuset,,CEIP Salvador Tuset,,Q108135769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14877588.0,10,administrative,,Benicalap,Benicalap,,boundary,Q5725686,,,,,
POINT (-0.3903747781555146 39.49111483458451),,,,,school,Colegio Diocesano San Roque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14877588.0,10,administrative,,Benicalap,Benicalap,,boundary,Q5725686,,,,,
POINT (-0.3914437151396652 39.49094461263561),,,,,school,Centro Concertado de Enseñanza Nuestra Señora del Carmen y San Vicente de Paúl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14877588.0,10,administrative,,Benicalap,Benicalap,,boundary,Q5725686,,,,,
